Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
39,1190,817,-19,-87,114,179,443,279,2
40,1139,673,-136,16,103,175,329,264,2
41,1161,576,-192,-3,40,115,310,235,2
42,1097,529,-137,-56,-24,50,225,203,2
43,1017,568,-69,-62,-48,-7,166,178,2
44,966,511,4,-32,-60,-67,92,162,2
45,930,419,13,-9,-75,-105,20,155,2
46,943,237,-85,-50,-72,-117,23,153,2
47,1007,181,-72,-140,-78,-108,25,161,2
48,986,271,2,-198,-100,-92,22,177,2
49,954,385,19,-181,-90,-84,28,185,2
50,1009,445,30,-103,-54,-52,103,173,2
51,1022,441,-12,-30,-35,-26,113,149,2
52,965,415,-58,3,-27,-17,52,125,2
53,929,423,-71,25,-18,-5,23,106,2
54,925,438,-63,44,-23,-1,25,95,2
55,900,459,-43,68,-36,-10,11,91,2
56,889,440,-14,109,-35,-14,7,96,2
57,902,392,-29,146,-21,-9,16,106,2
58,954,328,-79,149,-10,-4,11,114,2
59,981,298,-108,111,-16,-13,30,114,2
60,977,306,-107,74,-15,-20,29,107,2
61,956,301,-92,73,-16,-22,6,101,2
62,958,231,-135,72,-13,-17,5,95,2
63,948,230,-160,48,-15,-16,11,87,2
64,933,252,-149,25,-14,-24,22,77,2
65,911,250,-155,20,-17,-37,25,70,2
1,1093,1178,-774,-87,-510,-239,783,373,2
2,977,1226,-805,-37,-568,-301,762,427,2
3,910,1299,-902,-23,-588,-340,824,477,2
4,882,1308,-812,3,-625,-393,774,529,2
5,689,1342,-868,56,-587,-439,740,570,2
6,678,1268,-943,169,-538,-481,719,604,2
7,529,1031,-880,234,-566,-489,455,640,2
8,333,891,-799,209,-585,-467,242,667,2
9,140,794,-467,174,-592,-464,68,688,2
10,120,635,-89,138,-583,-467,347,702,2
11,-19,529,317,92,-566,-502,382,714,2
12,-40,324,667,162,-422,-507,257,707,2
13,-195,128,699,244,-318,-450,263,686,2
14,-35,-166,680,174,-363,-357,299,656,2
15,-43,-412,828,45,-447,-267,74,629,2
16,-160,-590,946,-99,-531,-210,126,619,2
17,-327,-684,1026,-208,-496,-146,275,607,2
18,-383,-755,1093,-224,-455,-56,382,587,2
19,-427,-906,1155,-202,-424,62,528,564,2
20,-523,-1003,1248,-223,-392,170,684,547,2
21,-617,-821,1245,-296,-323,273,613,541,2
22,-530,-737,1379,-371,-221,385,650,548,2
23,-472,-574,1527,-353,-110,451,698,555,2
24,-408,-498,1686,-234,57,479,804,551,2
25,-347,-511,1657,-109,265,506,768,557,2
26,-42,-471,1377,-118,512,566,455,600,2
27,685,-198,1122,-168,661,576,329,658,2
28,1662,172,209,-182,592,449,683,679,2
29,2663,554,-1073,-161,425,528,1924,683,2
30,2410,1956,-1969,121,838,577,2675,751,2
31,-741,2374,-3238,-93,300,575,3082,732,2
32,-1448,2068,-512,-226,36,-62,1575,633,2
33,-346,87,-769,771,635,-344,152,717,2
34,-161,-1652,-1631,249,356,421,1327,694,2
35,-480,588,-1599,-506,-34,47,770,657,2
36,-910,1461,-765,-110,-63,-182,883,570,2
37,-300,-23,-890,431,327,-14,60,564,2
38,-332,-237,-898,-56,51,26,13,467,2
39,-407,355,-803,-80,49,8,32,392,2
40,-390,94,-625,51,82,0,257,333,2
41,-323,-43,-521,36,78,16,385,284,2
42,-328,-8,-434,0,96,30,455,247,2
43,-213,-16,-345,-2,132,38,594,225,2
44,-190,-28,-349,-22,151,41,601,211,2
45,-71,-18,-388,-16,175,58,605,206,2
46,5,-59,-348,-38,194,76,646,207,2
47,122,22,-408,-74,220,90,573,215,2
48,215,125,-453,-79,244,112,483,228,2
49,339,195,-484,-53,271,129,377,243,2
50,477,260,-505,-37,289,145,258,259,2
51,679,338,-657,-10,308,160,3,277,2
52,738,364,-705,-56,283,157,83,287,2
53,906,414,-780,-71,316,160,265,302,2
54,990,514,-759,-120,276,154,349,309,2
55,1051,561,-864,-113,296,183,471,320,2
56,1209,542,-835,-115,298,175,566,329,2
