AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,isDone,Activity
412,-227,1515,-79,-382,-196,586,696,False,5
-57,-361,1656,-50,-251,-120,695,613,False,5
-149,-269,1781,-13,-110,-59,807,515,False,5
-6,-247,1533,-17,71,-32,552,428,False,5
186,-240,1485,-44,244,11,515,392,False,5
570,-140,1482,-14,375,76,593,390,False,5
825,-173,1550,49,518,142,764,420,False,5
1291,-277,1706,56,702,200,1157,482,False,5
1895,-473,2062,61,808,251,1840,555,False,5
2608,-654,2451,53,925,338,2638,641,False,5
3557,-560,2785,-29,962,351,3552,718,False,5
4136,26,3320,-133,979,341,4303,783,False,5
4359,522,3305,-126,1117,387,4495,864,False,5
4627,1155,3168,-107,1010,333,4725,905,False,5
4178,1088,2215,86,996,324,3852,934,False,5
3505,588,1350,-50,822,136,2801,914,False,5
2563,722,1371,-142,548,70,1994,845,False,5
1869,726,1665,16,452,108,2685,769,True,5
681,692,1300,-31,317,-119,622,191,False,5
620,574,1534,-75,381,-158,751,236,False,5
534,590,1825,-85,438,-184,990,285,False,5
840,410,2527,-70,699,-168,1694,467,False,5
899,416,2668,-94,777,-160,1845,533,False,5
912,402,2671,-121,845,-136,1850,599,False,5
931,395,2503,-103,886,-96,1699,659,False,5
