Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
27,5448,1361,-677,516,1041,-8,4656,1255,7
28,5072,1630,-680,224,458,-331,4370,1126,7
29,4825,2121,346,433,322,-393,4281,1034,7
30,4931,1007,645,729,553,-671,4073,1054,7
31,4671,14,439,812,598,-831,3691,1104,7
32,3866,-463,44,762,586,-703,2893,1121,7
33,2684,-824,-192,590,394,-496,1814,1070,7
34,1500,-811,-392,327,227,-355,749,962,7
35,969,-621,-264,88,144,-271,180,834,7
36,633,-519,-193,-26,90,-210,158,713,7
37,388,-386,-169,-20,43,-89,427,590,7
38,406,-125,-30,43,18,88,574,492,7
39,490,205,96,167,-21,289,460,460,7
40,616,377,137,244,-29,411,264,464,7
41,745,391,141,238,-33,412,146,466,7
42,814,433,148,188,-18,348,66,452,7
43,855,337,120,96,33,297,73,424,7
44,911,326,75,-36,106,256,29,395,7
45,1030,419,82,-121,153,250,114,379,7
46,1079,454,-6,-129,168,242,170,367,7
47,1122,424,-72,-133,140,226,201,353,7
48,1117,422,-87,-148,95,207,197,337,7
49,1142,425,-52,-150,67,193,219,320,7
50,1181,424,-34,-154,57,181,255,305,7
51,1188,469,-24,-153,70,178,277,292,7
52,1208,526,-72,-127,98,171,319,281,7
53,1208,530,-112,-96,101,145,323,265,7
54,1200,529,-166,-68,101,111,321,244,7
55,1175,474,-197,-35,103,78,282,222,7
56,1153,403,-242,-25,69,42,245,194,7
57,1136,375,-231,-41,20,7,218,165,7
58,1077,362,-198,-42,-18,-17,153,141,7
59,1020,361,-162,-27,-41,-31,94,124,7
60,975,365,-113,-3,-50,-38,47,112,7
61,929,599,-15,79,-26,-14,105,106,7
62,1115,615,-20,302,77,22,273,147,7
63,1342,416,-47,420,60,0,405,202,7
64,1386,214,-102,396,-2,-62,406,242,7
65,1267,70,-106,266,-63,-135,268,254,7
1,1810,3412,172,196,-9,219,2866,208,7
2,2656,3632,210,414,-90,-169,3504,257,7
3,3575,2856,168,449,-94,-643,3578,364,7
4,4274,2634,463,446,-174,-731,4041,465,7
5,5007,2449,964,544,-234,-746,4656,563,7
